% Model:              MMA_MXene_manufacturable8_done.mph
% Version:            COMSOL 6.1.0.282
% Date:               Nov 23 2025, 19:05
% Table:              Table 16 - Global Evaluation 1
% freq (GHz)                                      1-abs(emw.S11)^2-abs(emw.S21)^2-abs(emw.S31)^2-abs(emw.S41)^2-abs(emw.S51)^2-abs(emw.S61)^2-abs(emw.S71)^2-abs(emw.S81)^2-abs(emw.S91)^2-abs(emw.S10_1)^2 (1)
8                                                 0.9677919100290113
8.346938775510203                                 0.9977204938169838
8.693877551020408                                 0.9712386235559286
9.040816326530612                                 0.937556457458435
9.387755102040817                                 0.9157471970662225
9.73469387755102                                  0.9084262376037413
10.081632653061225                                0.9120895377722963
10.428571428571429                                0.9216913076795172
10.775510204081634                                0.932646064722968
11.122448979591837                                0.9418179943763351
11.469387755102042                                0.9478374988369856
11.816326530612244                                0.9508305487843707
12.163265306122451                                0.9518097262215909
12.510204081632654                                0.9520594649814473
12.85714285714286                                 0.95271519876409
13.204081632653061                                0.9545093380477676
13.551020408163266                                0.9578036548545787
13.897959183673471                                0.9624130915287693
14.244897959183675                                0.9674356049160471
14.59183673469388                                 0.9714636450645266
14.938775510204081                                0.973215715177103
15.285714285714286                                0.973849450155101
15.63265306122449                                 0.9754234736048469
15.979591836734697                                0.9787538017332499
16.3265306122449                                  0.9832725339802596
16.6734693877551                                  0.9880050747772763
17.02040816326531                                 0.9921189165947574
17.367346938775515                                0.9951235069771311
17.71428571428572                                 0.9968416692638832
18.06122448979592                                 0.9973046953221252
18.408163265306122                                0.9966413909989202
18.75510204081633                                 0.9950122783468613
19.102040816326532                                0.9926627912361848
19.448979591836732                                0.990197224637733
19.79591836734694                                 0.9748514389954427
20.142857142857146                                0.9596099852038837
20.48979591836735                                 0.947232777245684
20.836734693877553                                0.9352614109354667
21.183673469387756                                0.9237267366913309
21.530612244897963                                0.9132033818728884
21.877551020408163                                0.9042979385501708
22.224489795918366                                0.8976640808938909
22.571428571428573                                0.8938472528419088
22.918367346938776                                0.892395564353877
23.26530612244898                                 0.8892079055006423
23.612244897959183                                0.8680936761841995
23.959183673469393                                0.7984163564936146
24.306122448979597                                0.7093695299848087
24.653061224489797                                0.6704134162146518
25                                                0.6639288625853859
