% Model:              Two_materials_S_parameters.mph
% Version:            COMSOL 6.1.0.282
% Date:               Jul 9 2025, 15:18
% Table:              Table 14 - Global Evaluation 1
% freq (GHz)             1-abs(emw.S11)^2-abs(emw.S21)^2-abs(emw.S31)^2-abs(emw.S41)^2-abs(emw.S51)^2-abs(emw.S61)^2-abs(emw.S71)^2-abs(emw.S81)^2-abs(emw.S91)^2-abs(emw.S10_1)^2 (1)
8                        0.8103078922107709
8.346938775510203        0.761607483923033
8.693877551020408        0.746075782599908
9.040816326530612        0.7545922124779612
9.387755102040817        0.7772248677012598
9.73469387755102         0.804692972918632
10.081632653061225       0.829606649929993
10.428571428571429       0.8476415704610583
10.775510204081634       0.8577341228511041
11.122448979591837       0.8611979587139487
11.469387755102042       0.8604863399987763
11.816326530612244       0.8582304318588124
12.163265306122451       0.8566913814689505
12.510204081632654       0.8574891622606684
12.85714285714286        0.8614416006085568
13.204081632653061       0.8681485262827205
13.551020408163266       0.877200880741481
13.897959183673471       0.888640849259806
14.244897959183675       0.9020101249741773
14.59183673469388        0.9166445688166174
14.938775510204081       0.9316813500174282
15.285714285714286       0.9462757364114462
15.63265306122449        0.9596935253290455
15.979591836734697       0.971381445738186
16.3265306122449         0.9809127054359267
16.6734693877551         0.987940310623159
17.02040816326531        0.9922525311774499
17.367346938775515       0.9938713272332231
17.71428571428572        0.993094724877352
18.06122448979592        0.9904170615440383
18.408163265306122       0.9862944260742704
18.75510204081633        0.9807615954749002
19.102040816326532       0.9728845719867232
19.448979591836732       0.9596379245036393
19.79591836734694        0.9221240065665992
20.142857142857146       0.874469791437418
20.48979591836735        0.8135651168898185
20.836734693877553       0.7780277426338885
21.183673469387756       0.807354743157082
21.530612244897963       0.8410701557911051
21.877551020408163       0.8521225651490453
22.224489795918366       0.8481763246050126
22.571428571428573       0.8361710268638867
22.918367346938776       0.8183729997578292
23.26530612244898        0.7936698560454896
23.612244897959183       0.7625768078573449
23.959183673469393       0.7359683811720703
24.306122448979597       0.7228698192647631
24.653061224489797       0.7174129204480517
25                       0.7130470733712108
